Time,Node,X,Y,Z,Speed
+1e+09ns,0,6.36266e+06,8617.02,2.31582e+06,7672.59
+1e+09ns,1,5.14244e+06,3.74685e+06,2.31582e+06,7672.59
+1e+09ns,2,1.95798e+06,6.05391e+06,2.31582e+06,7672.59
+1e+09ns,3,-1.97437e+06,6.04859e+06,2.31582e+06,7672.59
+1e+09ns,4,-5.15257e+06,3.73291e+06,2.31582e+06,7672.59
+1e+09ns,5,-6.36266e+06,-8617.02,2.31582e+06,7672.59
+1e+09ns,6,-5.14244e+06,-3.74685e+06,2.31582e+06,7672.59
+1e+09ns,7,-1.95798e+06,-6.05391e+06,2.31582e+06,7672.59
+1e+09ns,8,1.97437e+06,-6.04859e+06,2.31582e+06,7672.59
+1e+09ns,9,5.15257e+06,-3.73291e+06,2.31582e+06,7672.59
+1e+09ns,10,6.37101e+06,0,30,30
+1e+09ns,10,6.37101e+06,0,30,30
+1e+09ns,11,6.37101e+06,25.9808,-15,30
+1e+09ns,11,6.37101e+06,25.9808,-15,30
+1e+09ns,12,6.37101e+06,-25.9808,-15,30
+1e+09ns,12,6.37101e+06,-25.9808,-15,30
+2e+09ns,0,6.36265e+06,17234,2.31581e+06,7672.59
+2e+09ns,1,5.13736e+06,3.75381e+06,2.31581e+06,7672.59
+2e+09ns,2,1.94978e+06,6.05656e+06,2.31581e+06,7672.59
+2e+09ns,3,-1.98256e+06,6.04591e+06,2.31581e+06,7672.59
+2e+09ns,4,-5.15762e+06,3.72593e+06,2.31581e+06,7672.59
+2e+09ns,5,-6.36265e+06,-17234,2.31581e+06,7672.59
+2e+09ns,6,-5.13736e+06,-3.75381e+06,2.31581e+06,7672.59
+2e+09ns,7,-1.94978e+06,-6.05656e+06,2.31581e+06,7672.59
+2e+09ns,8,1.98256e+06,-6.04591e+06,2.31581e+06,7672.59
+2e+09ns,9,5.15762e+06,-3.72593e+06,2.31581e+06,7672.59
+2e+09ns,10,6.37101e+06,0,60,30
+2e+09ns,10,6.37101e+06,0,60,30
+2e+09ns,11,6.37101e+06,51.9615,-30,30
+2e+09ns,11,6.37101e+06,51.9615,-30,30
+2e+09ns,12,6.37101e+06,-51.9615,-30,30
+2e+09ns,12,6.37101e+06,-51.9615,-30,30
+3e+09ns,0,6.36262e+06,25851,2.31581e+06,7672.59
+3e+09ns,1,5.13227e+06,3.76077e+06,2.31581e+06,7672.59
+3e+09ns,2,1.94157e+06,6.0592e+06,2.31581e+06,7672.59
+3e+09ns,3,-1.99074e+06,6.04322e+06,2.31581e+06,7672.59
+3e+09ns,4,-5.16266e+06,3.71894e+06,2.31581e+06,7672.59
+3e+09ns,5,-6.36262e+06,-25851,2.31581e+06,7672.59
+3e+09ns,6,-5.13227e+06,-3.76077e+06,2.31581e+06,7672.59
+3e+09ns,7,-1.94157e+06,-6.0592e+06,2.31581e+06,7672.59
+3e+09ns,8,1.99074e+06,-6.04322e+06,2.31581e+06,7672.59
+3e+09ns,9,5.16266e+06,-3.71894e+06,2.31581e+06,7672.59
+3e+09ns,10,6.37101e+06,0,90,30
+3e+09ns,10,6.37101e+06,0,90,30
+3e+09ns,11,6.37101e+06,77.9423,-45,30
+3e+09ns,11,6.37101e+06,77.9423,-45,30
+3e+09ns,12,6.37101e+06,-77.9423,-45,30
+3e+09ns,12,6.37101e+06,-77.9423,-45,30
+4e+09ns,0,6.36258e+06,34467.9,2.31579e+06,7672.59
+4e+09ns,1,5.12718e+06,3.76772e+06,2.31579e+06,7672.59
+4e+09ns,2,1.93337e+06,6.06183e+06,2.31579e+06,7672.59
+4e+09ns,3,-1.99893e+06,6.04053e+06,2.31579e+06,7672.59
+4e+09ns,4,-5.1677e+06,3.71195e+06,2.31579e+06,7672.59
+4e+09ns,5,-6.36258e+06,-34467.9,2.31579e+06,7672.59
+4e+09ns,6,-5.12718e+06,-3.76772e+06,2.31579e+06,7672.59
+4e+09ns,7,-1.93337e+06,-6.06183e+06,2.31579e+06,7672.59
+4e+09ns,8,1.99893e+06,-6.04053e+06,2.31579e+06,7672.59
+4e+09ns,9,5.1677e+06,-3.71195e+06,2.31579e+06,7672.59
+4e+09ns,10,6.37101e+06,0,120,30
+4e+09ns,10,6.37101e+06,0,120,30
+4e+09ns,11,6.37101e+06,103.923,-60,30
+4e+09ns,11,6.37101e+06,103.923,-60,30
+4e+09ns,12,6.37101e+06,-103.923,-60,30
+4e+09ns,12,6.37101e+06,-103.923,-60,30
